Fid,Timestamp,Source_IP_Address,Destination_IP_Address,Source_Port,Destination_Port,Protocol,Packet_Length,Packet_Type,Traffic_Type,Payload_Data,Malware_Indicators,Anomaly_Scores,Alerts_Warnings,Attack_Type,Attack_Signature,Action_Taken,Severity_Level,Device_Information,Network_Segment,Geo_City_location_Data,Proxy_Information,Firewall_Logs,IDS_IPS_Alerts,Log_Source
10.42.0.151-52.84.1.143-52003-80-6,21-09-23 22:22,92.101.208.228,44.34.242.157,52552,25979,ICMP,740,Data,HTTP,Maxime blanditiis tenetur molestias debitis praesentium minima. Autem aspernatur consequuntur.,NA,92.52,Alert Triggered,Intrusion,Known Pattern B,Blocked,High,"Mozilla/5.0 (Linux; Android 8.1.0) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/51.0.896.0 Safari/533.2",Segment C,"Kishanganj, Punjab",NA,NA,Alert Data,Firewall
172.217.12.202-10.42.0.211-443-60822-6,11-01-22 7:53,108.2.145.10,10.40.158.91,12036,13878,TCP,874,Control,FTP,Accusantium asperiores voluptatem dolores. Accusamus amet praesentium a ex. Ex delectus voluptas animi magnam ex consequuntur unde.,IoC Detected,34.29,Alert Triggered,DDoS,Known Pattern B,Logged,Low,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; bem-ZM) AppleWebKit/531.4.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6531.4.3",Segment A,"Tadepalligudem, Madhya Pradesh",NA,Log Data,Alert Data,Server
198.35.26.96-10.42.0.211-443-40977-6,14-07-21 0:38,51.201.6.83,47.60.32.166,7681,44667,UDP,255,Control,HTTP,Provident neque officiis ipsa. Quidem debitis aliquam cum optio qui. Dolores quo blanditiis ut natus.,NA,43.42,Alert Triggered,DDoS,Known Pattern B,Logged,Low,Opera/8.44.(Windows 98; az-IN) Presto/2.9.173 Version/12.00,Segment C,"Jehanabad, Nagaland",NA,NA,NA,Server
10.42.0.1-10.42.0.42-53-64524-17,20-05-23 16:01,95.56.75.227,28.139.70.243,1449,25889,TCP,273,Data,FTP,Corporis impedit ex impedit odit non dolore fugit. Laboriosam neque iure aperiam ab deleniti. Quam vero cupiditate nisi laboriosam quaerat assumenda.,IoC Detected,1.12,Alert Triggered,DDoS,Known Pattern A,Logged,Medium,Opera/8.69.(Windows 98; mhr-RU) Presto/2.9.183 Version/12.00,Segment C,"Phusro, Uttar Pradesh",65.128.22.232,Log Data,Alert Data,Server
140.205.140.87-10.42.0.211-80-39634-6,07-04-23 20:59,171.124.190.62,181.24.104.37,59338,54383,UDP,586,Control,FTP,Facilis perferendis optio magni eum. Veritatis maxime dignissimos quisquam. Excepturi ullam error harum optio nostrum.,NA,96.43,Alert Triggered,Malware,Known Pattern A,Logged,High,Opera/9.67.(X11; Linux x86_64; the-NP) Presto/2.9.185 Version/12.00,Segment A,"Dhule, Andhra Pradesh",NA,Log Data,Alert Data,Firewall
172.217.12.138-10.42.0.151-443-56712-6,02-06-22 21:30,177.184.105.250,201.212.62.209,48348,3595,ICMP,1067,Control,HTTP,Repellat esse laudantium delectus. Saepe ullam possimus dicta at provident.,NA,93.03,Alert Triggered,Malware,Known Pattern A,Ignored,Low,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/28.0.868.0 Mobile/73T859 Safari/532.0",Segment A,"Kirari Suleman Nagar, Madhya Pradesh",NA,Log Data,Alert Data,Firewall
10.42.0.1-10.42.0.42-53-50472-17,23-08-23 4:20,187.165.232.245,114.251.85.35,40871,22869,UDP,963,Control,HTTP,Repellat facere aut cum aperiam eos ipsa. Tenetur iure suscipit ad delectus dicta atque dolorem. Laboriosam iste numquam voluptates vero.,IoC Detected,89.67,Alert Triggered,Malware,Known Pattern A,Blocked,Low,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_0; rv:1.9.6.20) Gecko/9922-06-30 23:06:24 Firefox/3.8,Segment B,"Mango, Uttarakhand",68.98.108.224,Log Data,Alert Data,Server
183.61.27.21-10.42.0.211-443-46047-6,12-05-23 8:32,77.30.231.20,124.181.109.205,19324,10634,UDP,736,Control,DNS,"Et mollitia qui minima. Velit ipsa sint qui ab cumque.
Eveniet adipisci adipisci molestiae totam fugiat cumque molestiae. Asperiores aliquam reprehenderit nisi quis.",NA,86.37,Alert Triggered,DDoS,Known Pattern B,Blocked,High,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; my-MM) AppleWebKit/531.31.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6531.31.5",Segment C,"Kochi, Maharashtra",NA,NA,Alert Data,Firewall
183.79.17.108-10.42.0.151-443-60432-6,03-03-20 7:47,143.86.171.47,39.102.211.134,8536,38192,TCP,1432,Data,HTTP,"Vel alias beatae iure. Neque asperiores veniam a quas occaecati.
Saepe totam nisi exercitationem itaque. Temporibus officiis nisi eos corporis veritatis quia.
Adipisci natus suscipit enim laudantium.",IoC Detected,65.68,Alert Triggered,Malware,Known Pattern B,Ignored,High,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/10.6t3737.0 Mobile/68E667 Safari/534.0",Segment A,"Mumbai, West Bengal",NA,NA,Alert Data,Firewall
10.42.0.211-10.42.0.1-12871-53-17,29-01-23 12:11,2.243.229.98,49.240.23.185,16670,20690,TCP,97,Control,HTTP,"Reprehenderit voluptatum dolorem nemo. Ratione est voluptate delectus.
Excepturi quas doloremque delectus recusandae. Velit eaque similique quasi maxime reprehenderit sit.",IoC Detected,49.29,Alert Triggered,DDoS,Known Pattern A,Logged,Low,"Mozilla/5.0 (Linux; Android 3.2.1) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/61.0.888.0 Safari/533.1",Segment B,"Bikaner, Tripura",NA,Log Data,Alert Data,Firewall
10.42.0.42-103.235.46.212-52713-443-6,13-02-20 15:27,4.42.248.124,31.5.238.233,27704,10285,TCP,199,Data,FTP,Eligendi doloremque occaecati quaerat. Eius iste eius tempora corporis vero quas illo. Corrupti non molestias dolore nesciunt nobis eius.,IoC Detected,97.02,Alert Triggered,DDoS,Known Pattern B,Ignored,High,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/535.24.7 (KHTML, like Gecko) Version/4.0 Safari/535.24.7",Segment C,"Jaipur, Karnataka",NA,Log Data,Alert Data,Firewall
203.205.147.229-10.42.0.42-80-53182-6,04-12-20 0:53,201.233.155.202,47.248.108.220,30978,12673,ICMP,1247,Control,FTP,"Fuga ut unde animi similique pariatur nostrum. Ullam minima inventore in sit.
Quam recusandae iure. Placeat nisi molestiae occaecati maiores repudiandae. Iste laborum deleniti provident.",NA,88.03,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0),Segment C,"Kota, Sikkim",NA,NA,NA,Firewall
222.73.28.96-10.42.0.211-80-56951-6,03-06-21 22:30,165.248.48.31,199.129.227.115,47963,31219,UDP,1236,Data,HTTP,Aliquid quo laborum cupiditate ipsam. Facilis culpa eius debitis quae unde aut.,NA,60.61,Alert Triggered,Malware,Known Pattern A,Blocked,Low,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/531.26.3 (KHTML, like Gecko) Version/5.0 Safari/531.26.3",Segment A,"Dhule, Meghalaya",NA,Log Data,NA,Firewall
10.42.0.211-47.88.68.21-43818-443-6,05-08-23 8:16,3.193.148.14,204.64.213.233,5217,30570,ICMP,917,Control,HTTP,"Totam vel ipsum fuga. Aut inventore tenetur similique nulla. Omnis accusamus nemo.
Cum unde quia labore repudiandae. Nesciunt dolore minus aliquam eius quis illum.",IoC Detected,13.9,Alert Triggered,Malware,Known Pattern A,Ignored,Medium,Mozilla/5.0 (Windows NT 5.1; eu-ES; rv:1.9.0.20) Gecko/4657-11-14 08:47:46 Firefox/3.6.3,Segment C,"Gorakhpur, Assam",NA,Log Data,Alert Data,Firewall
10.42.0.211-64.71.142.110-56896-443-6,10-04-22 20:04,1.234.75.61,2.13.206.156,35930,52249,UDP,356,Control,HTTP,Perferendis reprehenderit sapiente. Voluptatum commodi error ratione nemo labore. Minus amet ullam officiis.,IoC Detected,1.53,Alert Triggered,DDoS,Known Pattern A,Ignored,Low,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/5.0),Segment A,"Mumbai, Manipur",120.223.21.157,NA,Alert Data,Firewall
10.42.0.211-23.206.166.66-56744-80-6,15-07-20 8:45,170.83.8.136,111.74.95.209,24337,13554,TCP,403,Control,HTTP,"Consectetur quis illo id ea ea eos corporis. Nesciunt porro eos eius nisi ea sapiente saepe.
Ea repellat quisquam excepturi. Voluptatum eligendi libero. Debitis id dolore ab.",NA,70.05,Alert Triggered,Intrusion,Known Pattern A,Ignored,Low,Opera/8.25.(Windows NT 4.0; as-IN) Presto/2.9.188 Version/11.00,Segment B,"Guntakal, Jharkhand",NA,NA,Alert Data,Server
10.42.0.151-10.42.0.1-2337-53-17,11-08-21 16:25,199.74.106.105,55.205.66.118,42446,10338,ICMP,983,Data,DNS,"Cupiditate quis nesciunt dolor delectus. Tenetur modi hic autem vel tempora.
Voluptatum porro mollitia. Minus doloribus eius cumque illum aliquam tempore. Facilis saepe architecto repellat quisquam.",NA,3.58,Alert Triggered,Malware,Known Pattern B,Blocked,Low,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/5.1),Segment B,"Buxar, Himachal Pradesh",60.208.125.250,NA,NA,Firewall
172.217.12.131-10.42.0.151-443-35392-6,19-10-21 12:50,8.225.130.76,180.237.175.120,30327,60622,ICMP,1413,Data,FTP,Consequatur molestias dolor nostrum. Repudiandae voluptates placeat tenetur.,NA,69.2,Alert Triggered,Intrusion,Known Pattern A,Logged,High,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2404-04-04 03:04:57 Firefox/3.8,Segment A,"Panchkula, Sikkim",NA,Log Data,NA,Firewall
8.8.8.8-10.42.0.42-53-54212-17,16-07-22 22:34,207.50.247.199,180.231.11.142,57538,10093,ICMP,1440,Data,FTP,Assumenda molestiae reiciendis magni alias enim. Quaerat totam ab autem sunt.,IoC Detected,33.21,Alert Triggered,Malware,Known Pattern A,Blocked,Low,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_7 rv:3.0; ku-TR) AppleWebKit/532.41.1 (KHTML, like Gecko) Version/4.0 Safari/532.41.1",Segment C,"Vadodara, Gujarat",NA,Log Data,NA,Server
10.42.0.211-119.146.74.33-51077-443-6,15-04-20 21:33,36.200.247.63,101.48.53.199,42973,60181,UDP,214,Data,FTP,"Ab rem eius aspernatur. Alias aperiam laborum iste.
Exercitationem repudiandae asperiores voluptatum. Fuga quibusdam sit. Beatae nisi saepe.",NA,25.97,Alert Triggered,DDoS,Known Pattern A,Blocked,Medium,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/19.0.890.0 Mobile/10O456 Safari/533.1",Segment C,"Proddatur, Himachal Pradesh",3.79.241.39,NA,NA,Server
10.42.0.211-10.42.0.1-61470-53-17,29-10-22 23:50,56.234.76.61,203.200.121.238,55614,47160,UDP,1451,Control,FTP,Nemo soluta numquam voluptas recusandae. Placeat quas saepe ut tempora dolores ipsam. Necessitatibus veritatis sit optio ab natus dolorem.,NA,56.84,Alert Triggered,DDoS,Known Pattern B,Blocked,Low,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.1),Segment B,"Bareilly, Odisha",77.49.142.120,NA,Alert Data,Firewall
10.42.0.151-31.13.80.5-53947-443-6,16-05-22 17:31,123.110.25.252,178.96.231.64,34980,21653,UDP,265,Data,HTTP,"Aliquid unde possimus ex. Autem ipsum sequi voluptate assumenda dolorum beatae.
Tenetur dolore architecto explicabo maxime. Neque porro beatae at labore harum.",NA,31.63,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/531.47.7 (KHTML, like Gecko) Version/5.0.4 Safari/531.47.7",Segment B,"Sasaram, Tamil Nadu",NA,NA,NA,Firewall
10.42.0.151-104.244.43.195-58070-443-6,15-04-20 8:40,147.123.120.207,188.154.250.182,41934,49858,UDP,578,Control,HTTP,Cumque repellendus aspernatur voluptatibus magnam pariatur occaecati voluptate. Perspiciatis voluptates sunt perferendis. Commodi voluptates tempora nihil id totam.,IoC Detected,72.6,Alert Triggered,Intrusion,Known Pattern A,Logged,Medium,Opera/8.38.(X11; Linux i686; ne-NP) Presto/2.9.182 Version/11.00,Segment C,"Nanded, Tamil Nadu",NA,Log Data,Alert Data,Firewall
10.42.0.211-52.192.237.93-54207-443-6,04-04-21 2:05,34.247.189.146,190.55.30.120,53411,59912,TCP,91,Control,DNS,Nostrum aspernatur reiciendis unde excepturi consectetur optio veniam. Pariatur repellat accusantium minima. Quia dicta assumenda expedita repudiandae.,IoC Detected,26.26,Alert Triggered,DDoS,Known Pattern B,Ignored,Medium,Opera/9.11.(Windows 98; brx-IN) Presto/2.9.173 Version/10.00,Segment B,"Bhalswa Jahangir Pur, Goa",NA,Log Data,Alert Data,Server
10.42.0.42-52.84.1.250-32959-443-6,13-10-20 14:02,46.111.239.69,135.139.194.50,7866,5965,TCP,1404,Control,HTTP,"Blanditiis fuga aperiam inventore quis iure voluptatibus excepturi. Nam vitae itaque qui vel.
Fugit laborum recusandae iure facilis. Tempora quisquam atque.",IoC Detected,15.21,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,Mozilla/5.0 (Android 4.1.2; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0,Segment C,"Raurkela Industrial Township, Maharashtra",198.245.80.188,Log Data,Alert Data,Server
8.0.6.4-8.6.0.1-0-0-0,05-10-22 12:26,20.165.224.223,77.39.121.168,46023,40962,UDP,1411,Data,DNS,Excepturi voluptate exercitationem explicabo praesentium nemo quam occaecati. Quo tempore aliquid necessitatibus consequatur nisi at voluptatibus.,IoC Detected,10.22,Alert Triggered,Malware,Known Pattern A,Ignored,Low,Mozilla/5.0 (Android 10; Mobile; rv:24.0) Gecko/24.0 Firefox/24.0,Segment A,"Davanagere, Meghalaya",NA,NA,NA,Firewall
172.217.10.101-10.42.0.151-443-49083-6,10-11-22 19:00,163.84.204.143,78.130.78.145,40113,64808,ICMP,276,Control,HTTP,"Unde magni deleniti commodi corporis qui sit. Quae perspiciatis autem impedit.
Vero quisquam animi deserunt. Sequi inventore ex animi necessitatibus.
Quas excepturi animi est ullam laborum.",IoC Detected,32.72,Alert Triggered,Intrusion,Known Pattern B,Ignored,Low,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/5.0),Segment B,"Secunderabad, Punjab",NA,NA,NA,Firewall
172.217.12.162-10.42.0.42-443-47905-6,17-07-21 22:52,207.138.17.239,184.47.54.93,52884,32361,TCP,829,Control,DNS,Fugiat optio natus nihil dolorum quis. Corrupti ipsum minus nesciunt soluta. Perferendis mollitia doloribus vel.,IoC Detected,78.15,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/5.0),Segment C,"Durgapur, Bihar",150.253.85.220,Log Data,Alert Data,Firewall
172.217.12.142-10.42.0.211-443-39717-6,03-04-23 9:14,177.72.169.169,71.69.182.9,13877,33093,ICMP,317,Data,DNS,Atque repellat quibusdam labore voluptates quis. Aspernatur officiis laboriosam itaque sint. Dolorem reiciendis nesciunt dolore libero veritatis officiis.,NA,81.97,Alert Triggered,DDoS,Known Pattern B,Logged,High,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/3.1),Segment C,"Ghaziabad, Bihar",NA,Log Data,NA,Server
10.42.0.42-104.193.88.102-56564-443-6,13-04-23 5:11,123.28.135.254,88.11.247.50,49412,50010,UDP,1289,Data,FTP,Natus quaerat nihil a dolor magni dolor consequuntur. Nam quisquam quisquam est sequi placeat. Amet quia dicta omnis suscipit.,IoC Detected,82.99,Alert Triggered,Intrusion,Known Pattern A,Logged,High,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) FxiOS/10.5y6503.0 Mobile/20K361 Safari/532.1",Segment C,"Panvel, Kerala",48.93.72.197,Log Data,Alert Data,Firewall
172.217.3.106-10.42.0.211-443-38492-6,07-01-22 4:24,197.140.166.152,216.175.180.174,19250,32195,TCP,658,Data,HTTP,"Error voluptas cumque alias et facere. Nihil similique officiis ab assumenda placeat. Placeat magni nostrum incidunt blanditiis asperiores.
Ut deleniti eligendi eligendi accusamus facilis.",IoC Detected,68.77,Alert Triggered,Intrusion,Known Pattern B,Ignored,Low,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/16.3t8284.0 Mobile/91S323 Safari/536.1",Segment A,"Madurai, Rajasthan",118.52.57.125,Log Data,Alert Data,Firewall
202.77.129.230-10.42.0.211-80-44870-6,01-04-21 10:57,58.113.33.220,170.73.34.72,29029,35877,TCP,1033,Control,DNS,Suscipit unde rem. Sed aspernatur recusandae nemo iusto dolores similique nostrum. Dolor molestias incidunt atque rerum.,NA,81.51,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) CriOS/21.0.873.0 Mobile/79Z927 Safari/531.2",Segment C,"Gurgaon, Punjab",108.240.0.72,NA,Alert Data,Server
222.73.31.32-10.42.0.211-8288-57143-6,19-09-23 21:20,35.75.28.76,169.152.204.74,25773,60249,ICMP,666,Data,FTP,"Repellat veritatis inventore expedita autem itaque.
Aperiam veniam voluptas reiciendis dolorem nam.",NA,25.03,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/3.0),Segment A,"Jhansi, Sikkim",NA,Log Data,Alert Data,Server
10.42.0.211-10.42.0.1-19027-53-17,24-04-20 2:48,132.64.100.147,164.177.199.202,14917,18061,TCP,1187,Data,HTTP,"Eos nisi voluptatem. Quasi consequatur perspiciatis illum ducimus. Hic quisquam ipsum quam.
Quam dolores distinctio cupiditate ipsum facilis pariatur quas. Quasi doloribus blanditiis optio.",IoC Detected,74.21,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Opera/8.28.(Windows 98; Win 9x 4.90; ce-RU) Presto/2.9.172 Version/10.00,Segment A,"Bijapur, Bihar",NA,NA,NA,Firewall
192.35.249.127-10.42.0.211-443-50421-6,18-08-21 4:11,199.138.233.56,170.69.144.111,35113,8447,UDP,66,Data,HTTP,Aliquid tempora commodi ad esse repudiandae. Nemo facere suscipit quaerat consectetur aliquam rem consectetur. Dolores veniam amet dolorem cumque aut expedita.,IoC Detected,57.74,Alert Triggered,Intrusion,Known Pattern B,Logged,Low,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_0; rv:1.9.3.20) Gecko/4510-11-03 16:37:26 Firefox/3.6.15,Segment C,"Haldia, Meghalaya",NA,NA,NA,Firewall
10.42.0.211-10.42.0.1-63037-53-17,28-09-21 21:04,54.152.143.64,38.58.25.45,37353,18566,TCP,913,Data,FTP,Quisquam soluta doloremque repudiandae. Eius voluptatem exercitationem modi minus dolore veniam.,NA,68.8,Alert Triggered,DDoS,Known Pattern B,Blocked,Medium,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_0 rv:5.0; om-ET) AppleWebKit/534.19.1 (KHTML, like Gecko) Version/4.1 Safari/534.19.1",Segment C,"Ranchi, Telangana",1.163.41.237,NA,NA,Firewall
222.73.28.96-10.42.0.211-80-58737-6,14-07-22 17:29,213.69.93.6,143.155.175.176,60246,64240,ICMP,1009,Control,DNS,Animi possimus nisi perferendis voluptas. Quibusdam libero sapiente omnis iste. Quod vero quidem molestias veritatis aut.,IoC Detected,30.9,Alert Triggered,Malware,Known Pattern B,Ignored,High,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/3.1),Segment C,"Madhyamgram, Arunachal Pradesh",170.32.176.236,Log Data,Alert Data,Server
10.42.0.211-72.21.206.140-54193-443-6,11-07-22 8:48,205.237.238.89,103.89.139.23,19802,5677,TCP,1383,Data,FTP,Facere fugit labore. Corrupti voluptatum alias explicabo sit fugiat beatae. Repellendus corrupti ipsam ipsum officia.,NA,98.38,Alert Triggered,DDoS,Known Pattern B,Logged,Medium,Opera/8.37.(X11; Linux x86_64; the-NP) Presto/2.9.181 Version/11.00,Segment B,"Jaunpur, Arunachal Pradesh",6.84.120.249,NA,Alert Data,Server
183.79.248.252-10.42.0.211-443-55948-6,31-10-20 5:26,17.18.69.194,20.247.191.113,1036,14847,ICMP,1369,Control,DNS,Tempora incidunt quaerat dolorum vel veniam deserunt. Consequatur reprehenderit accusamus veniam eos. Odio placeat aliquam non doloremque quam. Expedita repellendus quae dicta quis.,IoC Detected,32.32,Alert Triggered,DDoS,Known Pattern A,Logged,Medium,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_0) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/45.0.840.0 Safari/532.0",Segment B,"Rampur, Arunachal Pradesh",NA,NA,NA,Firewall
10.42.0.211-77.234.44.199-49797-80-6,17-05-23 23:32,120.27.174.18,118.17.49.183,9487,5094,UDP,576,Control,DNS,"Blanditiis iure tempora labore. Placeat eius quod et quidem maiores earum. Nulla libero quaerat laboriosam atque consectetur.
Reiciendis labore quibusdam beatae maxime neque quam voluptatibus.",IoC Detected,59.82,Alert Triggered,Intrusion,Known Pattern A,Ignored,Low,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/535.24.1 (KHTML, like Gecko) Version/4.0.1 Safari/535.24.1",Segment A,"Dehradun, Haryana",48.63.22.20,NA,Alert Data,Server
203.205.158.63-10.42.0.211-80-41529-6,24-05-23 17:09,177.17.3.149,197.123.198.239,24031,34448,UDP,1024,Control,DNS,"Sequi adipisci non eius odio. Deleniti dolore ut. Placeat aperiam eos unde eaque nam cumque.
Harum labore facilis corrupti nihil quae explicabo. Similique vero esse. Mollitia veritatis id nisi.",NA,16.23,Alert Triggered,Malware,Known Pattern A,Logged,Low,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/5.0),Segment C,"Sultan Pur Majra, Rajasthan",NA,Log Data,NA,Server
10.42.0.211-47.93.77.90-50692-80-6,12-10-22 22:53,42.72.149.121,218.25.125.35,57388,17189,ICMP,675,Data,DNS,Magnam expedita id sed iusto. Nobis occaecati minima. Molestiae aut exercitationem quaerat ut consequatur iusto.,IoC Detected,45.12,Alert Triggered,DDoS,Known Pattern B,Logged,Low,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2083-12-28 13:34:56 Firefox/12.0,Segment A,"Anantapur, Tripura",98.57.136.181,Log Data,NA,Firewall
10.42.0.151-10.42.0.1-53094-53-17,02-11-21 17:36,30.2.101.41,79.112.151.166,46071,35978,TCP,177,Control,DNS,Dolore rem officia doloribus ipsam sequi aperiam. Sequi voluptates itaque dignissimos explicabo est porro. Dignissimos non officiis esse ratione illo nemo.,IoC Detected,82.5,Alert Triggered,Intrusion,Known Pattern A,Ignored,Low,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/15.0.888.0 Mobile/67X989 Safari/533.1",Segment B,"Tirunelveli, Punjab",163.27.123.149,Log Data,Alert Data,Firewall
216.58.219.227-10.42.0.42-443-47729-6,27-03-23 10:26,143.166.217.116,202.110.6.32,3576,58365,ICMP,1315,Data,FTP,"Hic aliquid dolor necessitatibus pariatur eveniet accusamus iusto. Nulla facilis accusantium.
Commodi dignissimos maiores veritatis sint id. Incidunt soluta quos distinctio reprehenderit ullam.",NA,70.02,Alert Triggered,Malware,Known Pattern B,Blocked,High,Mozilla/5.0 (Android 3.2.6; Mobile; rv:41.0) Gecko/41.0 Firefox/41.0,Segment A,"Raipur, Himachal Pradesh",28.123.145.32,Log Data,Alert Data,Server
173.194.204.188-10.42.0.42-5228-55373-6,18-12-21 20:40,46.144.229.130,214.155.238.233,52552,3592,UDP,491,Data,FTP,"Distinctio eveniet maxime quae voluptate cumque quod et. Doloribus quo rerum iusto. Tempore consequatur adipisci qui id.
Eius et eveniet nam. Corrupti placeat earum optio sint eligendi.",IoC Detected,18.78,Alert Triggered,Intrusion,Known Pattern A,Logged,Medium,Opera/8.70.(Windows NT 5.0; am-ET) Presto/2.9.182 Version/12.00,Segment B,"Malegaon, Telangana",NA,Log Data,NA,Firewall
10.42.0.42-52.52.163.229-45919-443-6,10-06-23 9:14,103.10.31.44,201.221.16.243,19062,64208,ICMP,1219,Data,HTTP,"Repellat quia impedit sapiente.
Sunt maxime dolorum sapiente veniam. Corporis labore a voluptas quod iste. Illum quo perferendis earum ea corrupti consequatur.",NA,0.29,Alert Triggered,DDoS,Known Pattern A,Blocked,Low,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/4.0),Segment A,"Morena, Madhya Pradesh",NA,Log Data,NA,Server
10.42.0.151-121.12.98.63-42060-80-6,04-12-22 13:26,106.39.28.162,210.174.30.88,57035,43539,ICMP,664,Control,HTTP,Cum ducimus occaecati delectus ducimus sapiente voluptatem. Vel earum fuga repellat amet amet odit praesentium. Et aut cumque deserunt maxime. Ipsam architecto veritatis ducimus nam similique.,IoC Detected,6.08,Alert Triggered,Malware,Known Pattern A,Blocked,High,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_6) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/63.0.834.0 Safari/534.1",Segment C,"Kakinada, Andhra Pradesh",NA,NA,Alert Data,Firewall
220.243.235.201-10.42.0.42-80-52602-6,23-09-22 20:50,131.181.241.48,119.215.37.69,4820,39398,TCP,441,Control,HTTP,"Tempore exercitationem nostrum commodi veritatis tempore qui optio. Deleniti possimus ut. Quidem suscipit quasi molestias.
Tenetur molestias doloribus saepe harum nulla modi. Aspernatur adipisci ut.",NA,65.28,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Opera/8.62.(Windows 95; pap-CW) Presto/2.9.164 Version/10.00,Segment C,"Unnao, Jharkhand",NA,Log Data,NA,Server
10.42.0.211-98.139.199.205-44053-443-6,05-09-22 7:18,195.65.253.159,104.72.29.96,37786,30873,TCP,339,Control,DNS,"Amet minus omnis cumque numquam possimus asperiores. Exercitationem architecto quisquam unde.
Voluptatum similique voluptatem eius sed in. Commodi quasi perspiciatis perferendis.",IoC Detected,25.74,Alert Triggered,DDoS,Known Pattern A,Blocked,Low,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; ik-CA) AppleWebKit/531.16.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6531.16.4",Segment B,"Bardhaman, Karnataka",NA,NA,Alert Data,Firewall
172.217.12.142-10.42.0.42-443-45865-6,21-05-20 0:28,42.211.221.157,132.38.29.222,46992,7123,ICMP,848,Control,HTTP,Ipsa eaque voluptate iusto fugit delectus. Recusandae vitae dolore tempora optio unde quam.,NA,32.07,Alert Triggered,Malware,Known Pattern A,Blocked,Low,Opera/9.15.(Windows NT 10.0; sq-AL) Presto/2.9.184 Version/10.00,Segment B,"Kadapa, Mizoram",18.136.19.70,NA,NA,Server
